dt,program_title,device_name,country_code,product_type,unique_users,content_count
2018-10-01,Robinson Ekspeditionen,samsung2014xdk,dk,svod,34,35
2018-10-01,American Dad,pcdash,se,svod,34,60
2018-10-01,Peppa Pig,atv,no,svod,34,51
2018-10-01,Paradise Hotel Sverige,samsung2016xdk,se,svod,34,38
2018-10-01,Deadpool 2,samsung2015xdk,dk,tvod,34,34
2018-10-01,Fireman Sam,ios,dk,svod,34,40
2018-10-01,Familien fra Bryggen,pcdash,dk,svod,34,38
2018-10-01,Superliga Live,pcdash,dk,svod,34,34
2018-10-01,Svenska Hollywoodfruar,ios,se,svod,34,34
2018-10-01,Henry Danger,ios,se,svod,33,35
2018-10-01,Solo: A Star Wars Story,ps4xdk,no,tvod,33,33
2018-10-01,Blaze and the Monster Machines,chromecast,se,svod,33,44
2018-10-01,South Park,ios,dk,svod,33,42
2018-10-01,NCIS,atv,se,svod,33,38
2018-10-01,Paradise Hotel Sverige,samsung2015xdk,se,svod,33,34
2018-10-01,The Walking Dead,pcdash,se,svod,32,36
2018-10-01,Svenska Hollywoodfruar,atv,se,svod,32,34
2018-10-01,How I Met Your Mother,chromecast,dk,svod,32,50
2018-10-01,Frasier,ios,se,svod,32,39
2018-10-01,Hemliga beundrare,ios,se,svod,32,33
2018-10-01,Blindspot,atv,se,svod,32,33
2018-10-01,NCIS,pcdash,dk,svod,32,37
2018-10-01,Scrubs,chromecast,se,svod,32,45
2018-10-01,Solo: A Star Wars Story,ps4xdk,se,tvod,32,32
2018-10-01,Scrubs,ios,dk,svod,32,39
2018-10-01,South Park,ps4xdk,dk,svod,32,56
2018-10-01,Hemliga beundrare,atv,se,svod,32,32
2018-10-01,The Walking Dead,pcdash,dk,svod,32,32
2018-10-01,Coco,chromecast,dk,svod,31,31
2018-10-01,Til Middag Hos,ps4xdk,dk,svod,31,32
2018-10-01,Robinson Ekspeditionen,lg2017xdk,dk,svod,31,31
2018-10-01,Deadpool 2,samsung2017xdk,se,tvod,31,31
2018-10-01,Utøya 22. juli,chromecast,se,tvod,31,31
2018-10-01,Frasier,ios,dk,svod,31,43
2018-10-01,S.W.A.T.,ios,se,svod,31,32
2018-10-01,Deadpool 2,lg2016xdk,dk,tvod,30,30
2018-10-01,South Park,pcdash,fi,svod,30,35
2018-10-01,Solo: A Star Wars Story,ios,se,tvod,30,30
2018-10-01,American Dad,ios,se,svod,30,45
2018-10-01,Lethal Weapon,atv,no,svod,30,30
2018-10-01,Paradise Hotel Sverige,samsung2014xdk,se,svod,30,32
2018-10-01,Charterfeber,ps4xdk,no,svod,30,31
2018-10-01,Bones,ios,dk,svod,30,36
2018-10-01,South Park,androiddash,fi,svod,30,37
2018-10-01,Askeladden - I Dovregubbens hall,ios,dk,tvod,30,30
2018-10-01,South Park,ps4xdk,fi,svod,30,43
2018-10-01,South Park,chromecast,se,svod,30,42
2018-10-01,Avengers: Infinity War,pcdash,se,tvod,30,30
2018-10-01,Deadpool 2,samsung2013xdk,dk,tvod,29,29
2018-10-01,Vikings,pcdash,dk,svod,29,31
2018-10-01,Solo: A Star Wars Story,chromecast,dk,tvod,29,29
2018-10-01,Robinson Ekspeditionen,lg2013xdk,dk,svod,29,29
2018-10-01,The Good Doctor,pcdash,se,svod,29,32
2018-10-01,Big Time Rush,ios,se,svod,29,34
2018-10-01,Til Middag Hos,androiddash,dk,svod,29,29
2018-10-01,South Park,ios,se,svod,29,41
2018-10-01,Ingen utan skuld,androiddash,se,svod,28,28
2018-10-01,Coco,chromecast,se,svod,28,28
2018-10-01,NHL Live,pcdash,fi,svod,28,28
2018-10-01,Poketto Monsutā,ios,se,svod,28,30
2018-10-01,Charterfeber,ios,no,svod,28,28
2018-10-01,American Dad,pcdash,dk,svod,28,43
2018-10-01,Askeladden - I Dovregubbens hall,ios,no,tvod,28,28
2018-10-01,NFL Live,ios,se,svod,28,28
2018-10-01,The Good Doctor,chromecast,se,svod,28,29
2018-10-01,NCIS,chromecast,se,svod,28,35
2018-10-01,Til Middag Hos,samsung2016xdk,dk,svod,28,29
